id;data;cliente;cidade;estado;vendedor;regiao;produto;categoria;marca;preco_unitario;quantidade;valor_total
288;2025-06-23;Farmácia Central;São Paulo;SP;Carlos Mendes;Sul;Tônico Capilar 200ml;Higiene;Pantenê;29.9;16;478.4
444;2025-06-23;Farmácia Central;São Paulo;SP;Patricia Souza;Centro-Oeste;Protetor Solar FPS 50 200ml;Cosméticos;Sundown;39.9;20;798.0
178;2025-06-25;Drogaria Norte;Campinas;SP;Ana Silva;Sudeste;Protetor Solar FPS 50 200ml;Cosméticos;Sundown;39.9;19;758.1
203;2025-06-25;Mega Farma;Fortaleza;CE;Fernanda Lima;Nordeste;Protetor Solar FPS 50 200ml;Cosméticos;Sundown;39.9;1;39.9
209;2025-06-25;Cosméticos Bela;Belo Horizonte;MG;Fernanda Lima;Nordeste;Creme para Mãos 75ml;Cosméticos;Hidra;9.9;4;39.6
222;2025-06-26;Cosméticos Bela;Belo Horizonte;MG;Fernanda Lima;Nordeste;Esfoliante Corporal 200ml;Cosméticos;The Body Shop;49.9;14;698.6
400;2025-06-27;Farmácia Sul;Porto Alegre;RS;Ana Silva;Sudeste;Esfoliante Corporal 200ml;Cosméticos;The Body Shop;49.9;6;299.4
496;2025-06-27;Cosméticos Bela;Belo Horizonte;MG;Patricia Souza;Centro-Oeste;Sérum Facial 30ml;Cosméticos;Neutrogena;89.9;4;359.6
50;2025-06-29;Beleza & Cia;Manaus;AM;Patricia Souza;Centro-Oeste;Condicionador Reparador 400ml;Higiene;Natura;19.9;13;258.7
430;2025-06-30;Perfumaria Elite;Curitiba;PR;Fernanda Lima;Nordeste;Shampoo Hidratante 400ml;Higiene;Natura;18.9;5;94.5
431;2025-06-30;Perfumaria Elite;Curitiba;PR;Ana Silva;Sudeste;Condicionador Reparador 400ml;Higiene;Natura;19.9;4;79.6
184;2025-07-01;Cosméticos Bela;Belo Horizonte;MG;Patricia Souza;Centro-Oeste;Perfume Masculino 50ml;Perfumaria;Avon;89.9;20;1798.0
461;2025-07-01;Loja da Beleza;Salvador;BA;Roberto Costa;Norte;Perfume Masculino 50ml;Perfumaria;Avon;89.9;20;1798.0
247;2025-07-02;Perfumaria Elite;Curitiba;PR;Ana Silva;Sudeste;Base Líquida;Cosméticos;L'Oréal;59.9;8;479.2
445;2025-07-03;Perfumaria Elite;Curitiba;PR;Roberto Costa;Norte;Perfume Masculino 50ml;Perfumaria;Avon;89.9;12;1078.8
450;2025-07-03;Drogaria Norte;Campinas;SP;Patricia Souza;Centro-Oeste;Esfoliante Corporal 200ml;Cosméticos;The Body Shop;49.9;13;648.7
318;2025-07-04;Beleza Total;Rio de Janeiro;RJ;Roberto Costa;Norte;Sérum Facial 30ml;Cosméticos;Neutrogena;89.9;17;1528.3
86;2025-07-05;Cosméticos Bela;Belo Horizonte;MG;Patricia Souza;Centro-Oeste;Shampoo Hidratante 400ml;Higiene;Natura;18.9;1;18.9
160;2025-07-05;Beleza & Cia;Manaus;AM;Carlos Mendes;Sul;Desodorante Aerossol 150ml;Higiene;Rexona;14.9;8;119.2
476;2025-07-05;Farmácia Central;São Paulo;SP;Carlos Mendes;Sul;Batom Matte;Cosméticos;Maybelline;34.9;16;558.4
69;2025-07-06;Drogaria Norte;Campinas;SP;Carlos Mendes;Sul;Desodorante Aerossol 150ml;Higiene;Rexona;14.9;3;44.7
499;2025-07-06;Farmácia Central;São Paulo;SP;Carlos Mendes;Sul;Creme Hidratante Corporal 250ml;Cosméticos;Nivea;24.9;2;49.8
104;2025-07-07;Beleza & Cia;Manaus;AM;Ana Silva;Sudeste;Perfume Floral 100ml;Perfumaria;O Boticário;129.9;17;2208.3
128;2025-07-07;Drogaria Norte;Campinas;SP;Roberto Costa;Norte;Batom Matte;Cosméticos;Maybelline;34.9;8;279.2
269;2025-07-07;Cosméticos Bela;Belo Horizonte;MG;Patricia Souza;Centro-Oeste;Esfoliante Corporal 200ml;Cosméticos;The Body Shop;49.9;20;998.0
420;2025-07-07;Mega Farma;Fortaleza;CE;Ana Silva;Sudeste;Protetor Solar FPS 50 200ml;Cosméticos;Sundown;39.9;11;438.9
110;2025-07-08;Beleza & Cia;Manaus;AM;Fernanda Lima;Nordeste;Batom Matte;Cosméticos;Maybelline;34.9;1;34.9
446;2025-07-08;Farmácia Central;São Paulo;SP;Carlos Mendes;Sul;Sabonete Líquido 250ml;Higiene;Dove;12.9;3;38.7
47;2025-07-09;Farmácia Central;São Paulo;SP;Ana Silva;Sudeste;Sérum Facial 30ml;Cosméticos;Neutrogena;89.9;9;809.1
92;2025-07-10;Farmácia Central;São Paulo;SP;Patricia Souza;Centro-Oeste;Protetor Solar FPS 50 200ml;Cosméticos;Sundown;39.9;10;399.0
310;2025-07-10;Beleza Total;Rio de Janeiro;RJ;Carlos Mendes;Sul;Perfume Feminino 75ml;Perfumaria;Eudora;99.9;4;399.6
75;2025-07-11;Distribuidora Leste;Recife;PE;Carlos Mendes;Sul;Condicionador Reparador 400ml;Higiene;Natura;19.9;18;358.2
424;2025-07-11;Cosméticos Bela;Belo Horizonte;MG;Ana Silva;Sudeste;Desodorante Aerossol 150ml;Higiene;Rexona;14.9;4;59.6
421;2025-07-12;Distribuidora Leste;Recife;PE;Ana Silva;Sudeste;Creme para Mãos 75ml;Cosméticos;Hidra;9.9;9;89.1
119;2025-07-13;Cosméticos Bela;Belo Horizonte;MG;Ana Silva;Sudeste;Sabonete Líquido 250ml;Higiene;Dove;12.9;2;25.8
495;2025-07-14;Mega Farma;Fortaleza;CE;Ana Silva;Sudeste;Protetor Solar FPS 50 200ml;Cosméticos;Sundown;39.9;12;478.8
150;2025-07-16;Beleza & Cia;Manaus;AM;Fernanda Lima;Nordeste;Desodorante Aerossol 150ml;Higiene;Rexona;14.9;6;89.4
171;2025-07-16;Farmácia Sul;Porto Alegre;RS;Roberto Costa;Norte;Tônico Capilar 200ml;Higiene;Pantenê;29.9;10;299.0
227;2025-07-16;Farmácia Central;São Paulo;SP;Patricia Souza;Centro-Oeste;Creme para Mãos 75ml;Cosméticos;Hidra;9.9;4;39.6
105;2025-07-17;Loja da Beleza;Salvador;BA;Fernanda Lima;Nordeste;Esfoliante Corporal 200ml;Cosméticos;The Body Shop;49.9;11;548.9
306;2025-07-17;Distribuidora Leste;Recife;PE;Ana Silva;Sudeste;Perfume Feminino 75ml;Perfumaria;Eudora;99.9;20;1998.0
490;2025-07-17;Drogaria Norte;Campinas;SP;Roberto Costa;Norte;Protetor Solar FPS 50 200ml;Cosméticos;Sundown;39.9;4;159.6
358;2025-07-18;Farmácia Central;São Paulo;SP;Patricia Souza;Centro-Oeste;Desodorante Aerossol 150ml;Higiene;Rexona;14.9;10;149.0
